domain,score,old_rank,new_rank,rank_gain,rank_ratio,new_in_top_1m,old_list_id,old_created_on,new_list_id,new_created_on
supertms.com,36.898494,262950,561,262389,468.7166,False,W43K9,2026-01-25T22:00:02.068679,W4P69,2026-04-24T22:00:01.916906
gwfb.net,34.239839,262443,872,261571,300.9667,False,W43K9,2026-01-25T22:00:02.068679,W4P69,2026-04-24T22:00:01.916906
singtelchina.cn,33.165988,914477,3630,910847,251.922,False,W43K9,2026-01-25T22:00:02.068679,W4P69,2026-04-24T22:00:01.916906
porn5xxx.cc,32.443925,573326,2568,570758,223.2578,False,W43K9,2026-01-25T22:00:02.068679,W4P69,2026-04-24T22:00:01.916906
blackhub.team,31.705254,701204,3551,697653,197.4666,False,W43K9,2026-01-25T22:00:02.068679,W4P69,2026-04-24T22:00:01.916906
bankro.tech,31.374497,497849,2665,495184,186.8101,False,W43K9,2026-01-25T22:00:02.068679,W4P69,2026-04-24T22:00:01.916906
ezviz7.com,30.319466,5009,32,4977,156.5312,False,W43K9,2026-01-25T22:00:02.068679,W4P69,2026-04-24T22:00:01.916906
singtel.hk,29.689606,565663,4008,561655,141.1335,False,W43K9,2026-01-25T22:00:02.068679,W4P69,2026-04-24T22:00:01.916906
keenetic.io,28.050367,2681,25,2656,107.24,False,W43K9,2026-01-25T22:00:02.068679,W4P69,2026-04-24T22:00:01.916906
edoox.com,27.874573,999037,9562,989475,104.4799,False,W43K9,2026-01-25T22:00:02.068679,W4P69,2026-04-24T22:00:01.916906
asurascans.com,27.598054,339019,3405,335614,99.5651,False,W43K9,2026-01-25T22:00:02.068679,W4P69,2026-04-24T22:00:01.916906
pinayflix.my,27.182115,949380,10197,939183,93.1039,False,W43K9,2026-01-25T22:00:02.068679,W4P69,2026-04-24T22:00:01.916906
videyyo.org,27.149804,907859,9805,898054,92.5914,False,W43K9,2026-01-25T22:00:02.068679,W4P69,2026-04-24T22:00:01.916906
triplinkintl.com,26.956128,12958,145,12813,89.3655,False,W43K9,2026-01-25T22:00:02.068679,W4P69,2026-04-24T22:00:01.916906
hicloudcam.com,26.547197,5092,61,5031,83.4754,False,W43K9,2026-01-25T22:00:02.068679,W4P69,2026-04-24T22:00:01.916906
onlytapfun.com,26.488281,842720,10162,832558,82.9286,False,W43K9,2026-01-25T22:00:02.068679,W4P69,2026-04-24T22:00:01.916906
imanage.com,26.406637,96989,1189,95800,81.5719,False,W43K9,2026-01-25T22:00:02.068679,W4P69,2026-04-24T22:00:01.916906
sfile.co,26.256002,709970,8903,701067,79.745,False,W43K9,2026-01-25T22:00:02.068679,W4P69,2026-04-24T22:00:01.916906
khelo24bet88.com,26.149708,784656,10012,774644,78.3716,False,W43K9,2026-01-25T22:00:02.068679,W4P69,2026-04-24T22:00:01.916906
mtproto.ru,25.771649,208505,2840,205665,73.4173,False,W43K9,2026-01-25T22:00:02.068679,W4P69,2026-04-24T22:00:01.916906
daotec.com,25.771428,843681,11461,832220,73.6132,False,W43K9,2026-01-25T22:00:02.068679,W4P69,2026-04-24T22:00:01.916906
hoonuit.com,25.442172,320610,4611,315999,69.5316,False,W43K9,2026-01-25T22:00:02.068679,W4P69,2026-04-24T22:00:01.916906
bi.go.id,25.368081,158946,2316,156630,68.6295,False,W43K9,2026-01-25T22:00:02.068679,W4P69,2026-04-24T22:00:01.916906
vos-systems.net,24.623896,856830,14084,842746,60.8371,False,W43K9,2026-01-25T22:00:02.068679,W4P69,2026-04-24T22:00:01.916906
9ffyu1g9c.com,24.539215,81089,1357,79732,59.7561,False,W43K9,2026-01-25T22:00:02.068679,W4P69,2026-04-24T22:00:01.916906
pinayflix.cc,24.356281,872597,14994,857603,58.1964,False,W43K9,2026-01-25T22:00:02.068679,W4P69,2026-04-24T22:00:01.916906
wifaqulmadaris.org,24.292385,828937,14399,814538,57.5691,False,W43K9,2026-01-25T22:00:02.068679,W4P69,2026-04-24T22:00:01.916906
wx4.top,24.280861,884374,15387,868987,57.4754,False,W43K9,2026-01-25T22:00:02.068679,W4P69,2026-04-24T22:00:01.916906
case-battle.in,24.169588,142817,2541,140276,56.205,False,W43K9,2026-01-25T22:00:02.068679,W4P69,2026-04-24T22:00:01.916906
smvend.io,24.051722,697562,12620,684942,55.2743,False,W43K9,2026-01-25T22:00:02.068679,W4P69,2026-04-24T22:00:01.916906
bw9iawxl.com,23.791389,289007,5472,283535,52.8156,False,W43K9,2026-01-25T22:00:02.068679,W4P69,2026-04-24T22:00:01.916906
manutouch.com.cn,23.667881,259852,5023,254829,51.7324,False,W43K9,2026-01-25T22:00:02.068679,W4P69,2026-04-24T22:00:01.916906
gaohuaassetmanagement.cn,23.234487,635286,13170,622116,48.2374,False,W43K9,2026-01-25T22:00:02.068679,W4P69,2026-04-24T22:00:01.916906
ioref.io,23.206264,39184,819,38365,47.8437,False,W43K9,2026-01-25T22:00:02.068679,W4P69,2026-04-24T22:00:01.916906
v2ns.cl,23.039236,858703,18364,840339,46.7601,False,W43K9,2026-01-25T22:00:02.068679,W4P69,2026-04-24T22:00:01.916906
eqtv.io,23.032453,257452,5532,251920,46.5387,False,W43K9,2026-01-25T22:00:02.068679,W4P69,2026-04-24T22:00:01.916906
brhomeessentials.com,22.991943,980810,21125,959685,46.4289,False,W43K9,2026-01-25T22:00:02.068679,W4P69,2026-04-24T22:00:01.916906
czi.cz,22.939244,575354,12532,562822,45.9108,False,W43K9,2026-01-25T22:00:02.068679,W4P69,2026-04-24T22:00:01.916906
stricted.de,22.924988,381080,8330,372750,45.7479,False,W43K9,2026-01-25T22:00:02.068679,W4P69,2026-04-24T22:00:01.916906
eazypaytech.net,22.84931,963526,21252,942274,45.3381,False,W43K9,2026-01-25T22:00:02.068679,W4P69,2026-04-24T22:00:01.916906
rsch.jp,22.696392,76353,1737,74616,43.9568,False,W43K9,2026-01-25T22:00:02.068679,W4P69,2026-04-24T22:00:01.916906
aedifex.nl,22.617841,921654,21130,900524,43.6183,False,W43K9,2026-01-25T22:00:02.068679,W4P69,2026-04-24T22:00:01.916906
dnsmeasurement.com,22.601552,515756,11887,503869,43.3882,False,W43K9,2026-01-25T22:00:02.068679,W4P69,2026-04-24T22:00:01.916906
corebridgefinancial.com,22.523352,33858,793,33065,42.6961,False,W43K9,2026-01-25T22:00:02.068679,W4P69,2026-04-24T22:00:01.916906
jl1110.com,22.519519,610922,14265,596657,42.8266,False,W43K9,2026-01-25T22:00:02.068679,W4P69,2026-04-24T22:00:01.916906
spzl.nl,22.419836,252277,6003,246274,42.0252,False,W43K9,2026-01-25T22:00:02.068679,W4P69,2026-04-24T22:00:01.916906
lolpol2.com,22.31838,385949,9332,376617,41.3576,False,W43K9,2026-01-25T22:00:02.068679,W4P69,2026-04-24T22:00:01.916906
survey-z.com,22.208265,411336,10128,401208,40.6137,False,W43K9,2026-01-25T22:00:02.068679,W4P69,2026-04-24T22:00:01.916906
animesss.com,22.197978,882507,21698,860809,40.6723,False,W43K9,2026-01-25T22:00:02.068679,W4P69,2026-04-24T22:00:01.916906
bongdanet.mobi,22.13964,493872,12293,481579,40.1751,False,W43K9,2026-01-25T22:00:02.068679,W4P69,2026-04-24T22:00:01.916906
